SAE Grade,C (Min),C (Max),Conditions,UTS (MPa),YS (MPa),Hardness (HB),Elongation (%)
1010,0.08,0.13,Annealed,365,305,105,28
1010,0.08,0.13,Hot Rolled,325,180,95,28
1010,0.08,0.13,Cold Drawn,365,305,105,20
1010,0.08,0.13,Normalized,340,195,101,28
1015,0.13,0.18,Annealed,385,325,111,28
1015,0.13,0.18,Hot Rolled,345,190,101,28
1015,0.13,0.18,Cold Drawn,385,325,111,18
1015,0.13,0.18,Normalized,360,207,107,28
1020,0.18,0.23,Annealed,395,295,111,36
1020,0.18,0.23,Hot Rolled,380,205,111,25
1020,0.18,0.23,Cold Drawn,420,352,121,15
1020,0.18,0.23,Normalized,440,346,131,35
1025,0.22,0.28,Annealed,400,255,116,32
1025,0.22,0.28,Hot Rolled,400,220,116,25
1025,0.22,0.28,Cold Drawn,460,390,131,15
1025,0.22,0.28,Normalized,465,310,137,32
1030,0.28,0.34,Annealed,465,260,137,32
1030,0.28,0.34,Hot Rolled,470,260,137,20
1030,0.28,0.34,Cold Drawn,525,440,149,12
1030,0.28,0.34,Normalized,520,345,149,32
1035,0.32,0.38,Annealed,495,270,143,30
1035,0.32,0.38,Hot Rolled,495,270,143,19
1035,0.32,0.38,Cold Drawn,550,460,163,12
1035,0.32,0.38,Normalized,570,370,163,29
1040,0.37,0.44,Annealed,520,290,149,30
1040,0.37,0.44,Hot Rolled,525,290,149,18
1040,0.37,0.44,Cold Drawn,585,490,170,12
1040,0.37,0.44,Normalized,590,374,170,28
1040,0.37,0.44,Quenched and Tempered 315°C,1140,1020,321,12
1040,0.37,0.44,Quenched and Tempered 425°C,970,900,277,15
1040,0.37,0.44,Quenched and Tempered 540°C,820,728,241,19
1045,0.43,0.50,Annealed,570,310,163,25
1045,0.43,0.50,Hot Rolled,570,310,163,16
1045,0.43,0.50,Cold Drawn,625,530,179,12
1045,0.43,0.50,Normalized,625,405,179,25
1045,0.43,0.50,Quenched and Tempered 315°C,1280,1150,363,10
1045,0.43,0.50,Quenched and Tempered 425°C,1080,980,311,13
1045,0.43,0.50,Quenched and Tempered 540°C,900,793,262,17
1050,0.48,0.55,Annealed,636,365,187,22
1050,0.48,0.55,Hot Rolled,620,340,179,15
1050,0.48,0.55,Cold Drawn,690,585,197,10
1050,0.48,0.55,Normalized,748,427,217,20
1050,0.48,0.55,Quenched and Tempered 315°C,1380,1240,400,8
1050,0.48,0.55,Quenched and Tempered 425°C,1170,1080,330,11
1050,0.48,0.55,Quenched and Tempered 540°C,980,862,285,14
1060,0.55,0.65,Annealed,625,372,183,18
1060,0.55,0.65,Hot Rolled,680,376,197,12
1060,0.55,0.65,Normalized,776,421,229,18
1060,0.55,0.65,Quenched and Tempered 315°C,1630,1480,467,6
1060,0.55,0.65,Quenched and Tempered 425°C,1360,1240,388,8
1060,0.55,0.65,Quenched and Tempered 540°C,1100,958,321,11
1070,0.65,0.75,Annealed,660,415,197,17
1070,0.65,0.75,Hot Rolled,703,420,207,12
1070,0.65,0.75,Normalized,840,490,241,16
1070,0.65,0.75,Quenched and Tempered 315°C,1740,1570,500,5
1070,0.65,0.75,Quenched and Tempered 425°C,1480,1350,420,7
1070,0.65,0.75,Quenched and Tempered 540°C,1170,1040,340,10
1080,0.75,0.88,Annealed,615,375,174,15
1080,0.75,0.88,Hot Rolled,770,425,229,12
1080,0.75,0.88,Normalized,965,586,293,13
1080,0.75,0.88,Quenched and Tempered 315°C,1860,1720,534,4
1080,0.75,0.88,Quenched and Tempered 425°C,1590,1460,453,6
1080,0.75,0.88,Quenched and Tempered 540°C,1280,1140,368,9
1090,0.85,0.98,Annealed,680,380,192,14
1090,0.85,0.98,Hot Rolled,841,462,248,13
1090,0.85,0.98,Normalized,1010,617,301,12
1090,0.85,0.98,Quenched and Tempered 315°C,1960,1800,560,3
1090,0.85,0.98,Quenched and Tempered 425°C,1700,1560,480,5
1090,0.85,0.98,Quenched and Tempered 540°C,1380,1240,395,8
1095,0.90,1.03,Annealed,655,380,192,13
1095,0.90,1.03,Hot Rolled,827,455,248,12
1095,0.90,1.03,Normalized,1010,580,293,10
1095,0.90,1.03,Quenched and Tempered 315°C,1980,1860,578,4
1095,0.90,1.03,Quenched and Tempered 425°C,1720,1580,496,6
1095,0.90,1.03,Quenched and Tempered 540°C,1420,1290,415,9
